[2022-04-24 02:26:49,704] INFO [django.utils.autoreload.run_with_reloader:597 autoreload] Watching for file changes with StatReloader
[2022-04-24 23:28:22,638] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:7222b113346f4ddaf2415d706766e940eebe1ee26a96532f2dacea5b194d76ab
[2022-04-24 23:28:22,638] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:7222b113346f4ddaf2415d706766e940eebe1ee26a96532f2dacea5b194d76ab
[2022-04-24 23:28:22,676] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,676] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,676] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:df82833c6aa74a1be11efdcc67da6d73213cc840176127cf7065f8e1565e1a12
[2022-04-24 23:28:22,676] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:df82833c6aa74a1be11efdcc67da6d73213cc840176127cf7065f8e1565e1a12
[2022-04-24 23:28:22,712] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,712] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,712] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:ca518332d957350e9e0f3805d14ef8f527072615744e56d5e30a97ce5f83b187
[2022-04-24 23:28:22,712] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:ca518332d957350e9e0f3805d14ef8f527072615744e56d5e30a97ce5f83b187
[2022-04-24 23:28:22,750] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,750] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,750] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:9af34a81c72f5c2acaeb839a8d90a5800784b774c2ca343d1deaba7d830b165c
[2022-04-24 23:28:22,750] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:9af34a81c72f5c2acaeb839a8d90a5800784b774c2ca343d1deaba7d830b165c
[2022-04-24 23:28:22,786] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,786] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,786] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:0ec08b841e44c55996e65afd04cf7e440feb11ec224e817b8d9ed8d9b752480d
[2022-04-24 23:28:22,786] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:0ec08b841e44c55996e65afd04cf7e440feb11ec224e817b8d9ed8d9b752480d
[2022-04-24 23:28:22,826] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,826] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,827] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:3c50802b54396e3e2e1b7ca7eeaa7c69ae6660ab2a083405853f895c230eee14
[2022-04-24 23:28:22,827] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:3c50802b54396e3e2e1b7ca7eeaa7c69ae6660ab2a083405853f895c230eee14
[2022-04-24 23:28:22,864] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,864] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,864] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:0632322627a5ef897c4c4f94d487979675d9430a9ba4e4eda5987f81a81384cb
[2022-04-24 23:28:22,864] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:0632322627a5ef897c4c4f94d487979675d9430a9ba4e4eda5987f81a81384cb
[2022-04-24 23:28:22,902] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,902] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,902] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:11185c8123f0241e3805da23c148a0ce159e69cf4e03a6e29c0991a2d2b585ba
[2022-04-24 23:28:22,902] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:11185c8123f0241e3805da23c148a0ce159e69cf4e03a6e29c0991a2d2b585ba
[2022-04-24 23:28:22,940] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,940] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,940] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:9dbd2d1d67cd7f362a8de8da3d2d3aef2d6974d8c7e2e531843209d1806fdd9e
[2022-04-24 23:28:22,940] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:9dbd2d1d67cd7f362a8de8da3d2d3aef2d6974d8c7e2e531843209d1806fdd9e
[2022-04-24 23:28:22,976] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,976] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:22,977] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:ffb67a6077f6a8fa5de2497315f1402f689b6a0decd31534af484848a902436e
[2022-04-24 23:28:22,977] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:ffb67a6077f6a8fa5de2497315f1402f689b6a0decd31534af484848a902436e
[2022-04-24 23:28:23,012] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:23,012] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:23,012] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:dad233b4d0d3c9d094610cdab597a8d65d76476dd46dac0b50c66a4fdae4880a
[2022-04-24 23:28:23,012] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:dad233b4d0d3c9d094610cdab597a8d65d76476dd46dac0b50c66a4fdae4880a
[2022-04-24 23:28:23,048] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:23,048] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:23,049] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:e06396f38ee0a87543db74f257feaaef3b906827b767fc5568e556e951c500d3
[2022-04-24 23:28:23,049] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:e06396f38ee0a87543db74f257feaaef3b906827b767fc5568e556e951c500d3
[2022-04-24 23:28:23,086] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:23,086] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:28:23,086] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:0b665b81d74851ec48cdd6886f20712e4a54b4a4389de2b95c7081e728ba903f
[2022-04-24 23:28:23,086] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:0b665b81d74851ec48cdd6886f20712e4a54b4a4389de2b95c7081e728ba903f
[2022-04-24 23:31:14,899] INFO [blog.views.get_queryset_from_cache:70 views] set view cache.key:archives
[2022-04-24 23:31:25,192] WARNING [djangoblog.utils.news:38 utils] 'Category' object has no attribute 'get_cache_key'
[2022-04-24 23:31:25,192] WARNING [djangoblog.utils.news:38 utils] 'Category' object has no attribute 'get_cache_key'
[2022-04-24 23:31:25,193] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_sub_categorys key:2a16b8c24408fce7fea6a2007515b9402280683813c3443d4da26cd9c42d76cd
[2022-04-24 23:31:25,193] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_sub_categorys key:2a16b8c24408fce7fea6a2007515b9402280683813c3443d4da26cd9c42d76cd
[2022-04-24 23:31:25,270] INFO [blog.views.get_queryset_from_cache:70 views] set view cache.key:category_list_子类目_1
[2022-04-24 23:31:25,736] INFO [blog.templatetags.blog_tags.load_sidebar:133 blog_tags] load sidebar
[2022-04-24 23:31:25,775] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:31:25,775] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:31:25,775] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
